symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-02-03 22:28:00+00:00,239.1,239.1,238.9702,238.9702,647.0,34.0,239.056733
AMZN,2025-02-03 22:29:00+00:00,239.1,239.11,239.1,239.11,674.0,41.0,239.105
AMZN,2025-02-03 22:30:00+00:00,239.11,239.11,239.11,239.11,687.0,22.0,239.11
AMZN,2025-02-03 22:31:00+00:00,239.1964,239.1964,239.1964,239.1964,271.0,28.0,239.1964
AMZN,2025-02-03 22:32:00+00:00,239.2,239.2,239.1893,239.1895,2024.0,42.0,239.197615
AMZN,2025-02-03 22:33:00+00:00,239.19,239.19,239.1887,239.1887,392.0,35.0,239.18935
AMZN,2025-02-03 22:36:00+00:00,239.19,239.24,239.1899,239.2,1606.0,42.0,239.198547
AMZN,2025-02-03 22:37:00+00:00,239.16,239.24,239.16,239.24,932.0,39.0,239.226949
AMZN,2025-02-03 22:38:00+00:00,239.0,239.1545,239.0,239.1545,344.0,26.0,239.07725
AMZN,2025-02-03 22:41:00+00:00,239.26,239.27,239.2276,239.2276,536.0,29.0,239.251729
AMZN,2025-02-03 22:42:00+00:00,239.27,239.27,239.2,239.2037,961.0,38.0,239.229331
AMZN,2025-02-03 22:43:00+00:00,239.28,239.28,239.28,239.28,573.0,36.0,239.28
AMZN,2025-02-03 22:45:00+00:00,239.1541,239.1541,239.1541,239.1541,407.0,23.0,239.1541
AMZN,2025-02-03 22:47:00+00:00,239.2,239.2,239.2,239.2,284.0,22.0,239.2
AMZN,2025-02-03 22:48:00+00:00,239.25,239.28,239.25,239.25,1925.0,56.0,239.259832
AMZN,2025-02-03 22:49:00+00:00,239.33,239.33,239.33,239.33,409.0,20.0,239.33
AMZN,2025-02-03 22:50:00+00:00,239.3,239.3688,239.3,239.3,2029.0,51.0,239.309406
AMZN,2025-02-03 22:51:00+00:00,239.25,239.25,239.24,239.24,1079.0,46.0,239.248
AMZN,2025-02-03 22:55:00+00:00,239.35,239.35,239.3,239.3,780.0,30.0,239.339617
AMZN,2025-02-03 22:56:00+00:00,239.25,239.3,239.25,239.3,1321.0,23.0,239.271981
AMZN,2025-02-03 22:57:00+00:00,239.3,239.3,239.25,239.25,956.0,36.0,239.264469
AMZN,2025-02-03 22:58:00+00:00,239.3144,239.3144,239.3144,239.3144,237.0,19.0,239.3144
AMZN,2025-02-03 22:59:00+00:00,239.36,239.36,239.31,239.31,1779.0,42.0,239.329499
AMZN,2025-02-03 23:00:00+00:00,239.25,239.25,239.2,239.2,1996.0,49.0,239.208238
AMZN,2025-02-03 23:01:00+00:00,239.2,239.2,239.2,239.2,809.0,26.0,239.2
AMZN,2025-02-03 23:02:00+00:00,239.2998,239.2998,239.0,239.0,2036.0,58.0,239.073247
AMZN,2025-02-03 23:03:00+00:00,239.06,239.1,239.06,239.1,448.0,21.0,239.076878
AMZN,2025-02-03 23:04:00+00:00,239.1,239.1,239.1,239.1,805.0,30.0,239.1
AMZN,2025-02-03 23:05:00+00:00,239.1,239.29,239.1,239.29,3541.0,29.0,239.108214
AMZN,2025-02-03 23:06:00+00:00,239.1001,239.2266,239.1,239.1,1242.0,36.0,239.114848
AMZN,2025-02-03 23:07:00+00:00,239.07,239.16,239.07,239.16,471.0,14.0,239.116036
AMZN,2025-02-03 23:08:00+00:00,239.11,239.3,239.11,239.3,791.0,27.0,239.245714
AMZN,2025-02-03 23:10:00+00:00,239.05,239.05,239.01,239.01,1032.0,27.0,239.036987
AMZN,2025-02-03 23:11:00+00:00,239.2,239.2,239.01,239.18,851.0,25.0,239.063661
AMZN,2025-02-03 23:12:00+00:00,239.0884,239.09,239.0884,239.0899,2754.0,32.0,239.089716
AMZN,2025-02-03 23:13:00+00:00,239.09,239.09,239.09,239.09,678.0,18.0,239.09
AMZN,2025-02-03 23:14:00+00:00,239.21,239.21,239.21,239.21,419.0,26.0,239.21
AMZN,2025-02-03 23:15:00+00:00,239.0408,239.0408,239.0408,239.0408,1112.0,23.0,239.0408
AMZN,2025-02-03 23:16:00+00:00,239.17,239.17,239.17,239.17,130.0,15.0,239.17
AMZN,2025-02-03 23:17:00+00:00,239.17,239.17,239.17,239.17,382.0,23.0,239.17
AMZN,2025-02-03 23:18:00+00:00,239.11,239.17,239.11,239.17,1105.0,51.0,239.15
AMZN,2025-02-03 23:19:00+00:00,239.22,239.22,239.17,239.17,1914.0,48.0,239.206646
AMZN,2025-02-03 23:20:00+00:00,239.1,239.1,239.1,239.1,657.0,31.0,239.1
AMZN,2025-02-03 23:21:00+00:00,239.0998,239.2246,239.0757,239.2246,771.0,27.0,239.118038
AMZN,2025-02-03 23:22:00+00:00,239.2,239.2,239.2,239.2,409.0,27.0,239.2
AMZN,2025-02-03 23:23:00+00:00,239.16,239.16,239.1,239.16,964.0,31.0,239.151667
AMZN,2025-02-03 23:24:00+00:00,239.0523,239.0523,239.0523,239.0523,924.0,44.0,239.0523
AMZN,2025-02-03 23:25:00+00:00,239.06,239.06,238.99,238.99,2352.0,64.0,239.026968
AMZN,2025-02-03 23:26:00+00:00,238.86,239.1,238.86,239.05,1758.0,33.0,239.044797
AMZN,2025-02-03 23:27:00+00:00,238.92,239.05,238.892,239.0,1409.0,26.0,238.951725
AMZN,2025-02-03 23:28:00+00:00,239.086,239.086,239.07,239.07,808.0,35.0,239.077813
AMZN,2025-02-03 23:30:00+00:00,238.9016,239.07,238.85,239.07,1227.0,33.0,238.904047
AMZN,2025-02-03 23:32:00+00:00,238.963,238.9635,238.9613,238.9613,872.0,19.0,238.962
AMZN,2025-02-03 23:33:00+00:00,239.0,239.0,239.0,239.0,682.0,18.0,239.0
AMZN,2025-02-03 23:35:00+00:00,238.8801,238.8801,238.85,238.85,1656.0,34.0,238.855464
AMZN,2025-02-03 23:36:00+00:00,239.0839,239.0839,239.05,239.05,425.0,18.0,239.0726
AMZN,2025-02-03 23:37:00+00:00,238.9,239.1,238.9,239.1,617.0,24.0,239.016435
AMZN,2025-02-03 23:39:00+00:00,239.0,239.0,239.0,239.0,401.0,19.0,239.0
AMZN,2025-02-03 23:40:00+00:00,239.099,239.099,239.0,239.0,641.0,26.0,239.033
AMZN,2025-02-03 23:41:00+00:00,238.99,238.99,238.99,238.99,1080.0,19.0,238.99
AMZN,2025-02-03 23:43:00+00:00,239.0,239.0,239.0,239.0,424.0,27.0,239.0
AMZN,2025-02-03 23:44:00+00:00,238.901,238.9027,238.901,238.9027,715.0,28.0,238.902172
AMZN,2025-02-03 23:45:00+00:00,238.9042,238.9042,238.9,238.9001,1173.0,38.0,238.90167
AMZN,2025-02-03 23:46:00+00:00,238.99,238.99,238.99,238.99,614.0,36.0,238.99
AMZN,2025-02-03 23:47:00+00:00,238.9,238.9,238.85,238.85,1682.0,34.0,238.889982
AMZN,2025-02-03 23:48:00+00:00,238.8,238.974,238.75,238.82,1810.0,49.0,238.816451
AMZN,2025-02-03 23:49:00+00:00,238.8196,238.9745,238.7535,238.9745,2649.0,23.0,238.798555
AMZN,2025-02-03 23:50:00+00:00,238.77,238.77,238.7,238.7,3438.0,54.0,238.729933
AMZN,2025-02-03 23:51:00+00:00,238.543,238.9899,238.543,238.9899,5167.0,25.0,238.735486
AMZN,2025-02-03 23:52:00+00:00,238.9899,238.9899,238.89,238.89,670.0,13.0,238.97325
AMZN,2025-02-03 23:53:00+00:00,238.99,238.99,238.99,238.99,301.0,16.0,238.99
AMZN,2025-02-03 23:56:00+00:00,238.9299,238.9299,238.9299,238.9299,1250.0,28.0,238.9299
AMZN,2025-02-03 23:57:00+00:00,238.81,238.81,238.73,238.73,539.0,18.0,238.78
AMZN,2025-02-03 23:58:00+00:00,238.8108,238.8108,238.8108,238.8108,169.0,12.0,238.8108
